code_absent;intitule_activite;metiers_concernes;code_probable_apres_MAJ;intitule_correspondant
F.01.05.01;Contrôle en continu de la production assurée;D18 D19 D21 D195 C201;F.01.05.1;Contrôle en continu de la production assurée
K.02.16.01;Pilotage de la gestion des ressources humaines;P88 P150 F220 P300;K.02.16.1;Pilotage de la gestion des ressources humaines
D.02.02.01;Conduite d’une ligne de fabrication et/ou de conditionnement;D21 C201 D312;D.02.02.04;Conduite d’une ligne de fabrication et/ou de conditionnement
K.02.01.01;Pilotage des activités administratives et financières;P110 P113 P218;;
I.02.10.01;Transmissions des informations de suivi et de traçabilité;K15 K324;I.02.10.1;Transmissions des informations de suivi et de traçabilité
I.01.15.01;Manutention et stockage des machines et produits d’entretien;K15 K324;I.01.15.1;Manutention et stockage des machines et produits d’entretien
E.02.10.01;Gestion et optimisation des stocks;L86 L261;E.02.10.1;Gestion et optimisation des stocks
J.02.02.01;Rédaction de contenus, messages, argumentaires de marketing opérationnel;B87 B222;J.02.02.1;Rédaction de contenus, messages, argumentaires de marketing opérationnel
I.01.06.01;Analyse de l’activité de marketing digital;B125 B134;I.01.06.1;Analyse de l’activité de marketing digital
I.02.12.01;Enregistrement et transmission des informations relatives à la maintenance;J196 J316;I.02.08.02;Enregistrement et transmission des informations relatives à la maintenance
E.02.08.01;Préparation de commandes et expédition des produits;F3;E.02.08.1;Préparation de commandes et expédition des produits
F.01.15.01;Surveillance et contrôle des réglages effectués sur les équipements et machines de production;J12;F.01.15.1;Surveillance et contrôle des réglages effectués sur les équipements et machines de production
I.02.11.01;Enregistrement et transmission des informations relatives à la production;J12;I.02.08.01;Enregistrement et transmission des informations relatives à la production
J.01.10.01;Communication auprès des collaborateurs de la production;J12;J.01.10.1;Communication auprès des collaborateurs de la production
H.01.06.01;Appui technique à la production dans la mise en œuvre des procédés de production alimentaire;D13;H.01.06.1;Appui technique à la production dans la mise en œuvre des procédés de production alimentaire
I.01.16.01;Traitement des indicateurs relatifs à l’activité de production;D13;I.01.16.1;Traitement des indicateurs relatifs à l’activité de production
J.05.05.01;Mise en œuvre de projets associés à de nouveaux équipements industriels, nouveaux procédés et/ ou nouveaux produits alimentaires;D13;J.05.05.1;Mise en œuvre de projets associés à de nouveaux équipements industriels, nouveaux procédés et/ ou nouveaux produits alimentaires
