section;code_metier;intitule_metier;formacode;libelle;constat;detail
1-niveaux_incoherents;D10;Responsable de production de produits alimentaires (fabrication / conditionnement);31436;Contrôle qualité;niveaux 2 / 3;couple 2=niv 3, couple 3=niv 2
1-niveaux_incoherents;C70;Méthaniseur(se);21547;Bonnes pratiques hygiene agroalimentaire;niveaux 1 / 2;couple 1=niv 1, couple 2=niv 2, couple 3=niv 2, couple 4=niv 2, couple 5=niv 2
1-niveaux_incoherents;F165;Planificateur régulateur vol;23594;Mécanique vol;niveaux (vide) / 2;couple 1=niv 2, couple 2=niv (vide)
1-niveaux_incoherents;B168;Spécialiste expérience client (UX designer);32079;Gestion performance;niveaux 2 / 3;couple 1=niv 2, couple 4=niv 3
1-niveaux_incoherents;D192;Agent de chai;21572;Reglementation hygiene agroalimentaire;niveaux 1 / 2;couple 1=niv 1, couple 2=niv 1, couple 3=niv 2, couple 4=niv 1, couple 5=niv 1, couple 6=niv 1
1-niveaux_incoherents;C205;Agent(e) de culture pépiniériste;31407;Qualite hygiene securite environnement;niveaux 1 / 2;couple 1=niv 2, couple 2=niv 2, couple 3=niv 2, couple 4=niv 2, couple 5=niv 2, couple 6=niv 1
1-niveaux_incoherents;C206;Agent(e) viticole;31407;Qualite hygiene securite environnement;niveaux (vide) / 2;couple 1=niv 2, couple 2=niv 2, couple 4=niv 2, couple 5=niv (vide)
1-niveaux_incoherents;C214;Agent(e) d’élevage piscicole;21572;Reglementation hygiene agroalimentaire;niveaux 1 / 2;couple 5=niv 1, couple 6=niv 2
1-niveaux_incoherents;D217;Conducteur(trice) de ligne d’embouteillage / de conditionnement;21572;Reglementation hygiene agroalimentaire;niveaux 1 / 2;couple 2=niv 2, couple 3=niv 1
1-niveaux_incoherents;B222;Chargé(e) de marketing;13154;Economie;niveaux 1 / 2;couple 1=niv 2, couple 4=niv 1
1-niveaux_incoherents;P239;Gestionnaire paie / administration du personnel;13254;Droit;niveaux 1 / 2;couple 2=niv 2, couple 3=niv 2, couple 4=niv 2, couple 5=niv 1, couple 6=niv 1
1-niveaux_incoherents;C242;Chef(fe) d’équipe du paysage;12054;Sciences naturelles;niveaux 1 / 2;couple 2=niv 1, couple 3=niv 2
1-niveaux_incoherents;C248;Chef(fe) d’équipe conchyliculture;21572;Reglementation hygiene agroalimentaire;niveaux 1 / 2;couple 2=niv 2, couple 3=niv 1, couple 4=niv 1, couple 5=niv 1
1-niveaux_incoherents;P252;Gestionnaire en ressources humaines;33054;Ressources humaines;niveaux 1 / 2;couple 2=niv 2, couple 3=niv 1, couple 4=niv 1, couple 5=niv 1, couple 6=niv 1
1-niveaux_incoherents;A259;Responsable emballage;32062;Recherche et développement;niveaux 2 / 3;couple 1=niv 3, couple 2=niv 2, couple 3=niv 2
1-niveaux_incoherents;P267;Adjoint de direction;35071;Technique administrative;niveaux 1 / 2;couple 3=niv 2, couple 4=niv 1, couple 6=niv 2
1-niveaux_incoherents;P269;Manager d’équipe;32079;Gestion performance;niveaux 1 / 2;couple 2=niv 1, couple 3=niv 2
1-niveaux_incoherents;P294;Contrôleur externe;13366;Fiscalite entreprise;niveaux 1 / 2;couple 2=niv 2, couple 3=niv 2, couple 4=niv 1
1-niveaux_incoherents;P297;Coordinateur du contrôle interne;13154;Economie;niveaux 2 / 3;couple 2=niv 2, couple 5=niv 2, couple 5=niv 3
1-niveaux_incoherents;F323;Conducteur(rice) bétaillère;21572;Reglementation hygiene agroalimentaire;niveaux 1 / 2;couple 1=niv 2, couple 2=niv 2, couple 3=niv 1, couple 4=niv 2, couple 5=niv 2
2-presence_partielle;C16;Chef(fe) de silo;21547;Bonnes pratiques hygiene agroalimentaire;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;C16;Chef(fe) de silo;23684;Entretien mécanique;Outil_collecte seulement;couple(s) 6 — absent de la fiche
2-presence_partielle;J27;Mécanicien(ne) de maintenance industrielle;31754;Manutention;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J28;Mécanicien(ne)-sertisseur(euse);31754;Manutention;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J29;Electromécanicien(ne) de maintenance industrielle;31754;Manutention;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J30;Automaticien(ne) de maintenance industrielle  (installations automatisées et robotisées);31754;Manutention;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;M57;Responsable e-commerce;32110;Management opérationnel;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;M57;Responsable e-commerce;32130;Animation motivation équipe;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;K71;Aggréeur(se);34085;Stratégie commerciale;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;K71;Aggréeur(se);34593;Prospection vente;fiche metier seulement;niveau 3 — a ajouter dans Outil_collecte
2-presence_partielle;K71;Aggréeur(se);13154;Economie;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;K71;Aggréeur(se);32079;Gestion performance;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;K73;SPECIALISTE CONTROLE QUALITE;21046;Travaux paysagers;fiche metier seulement;niveau 3 — a ajouter dans Outil_collecte
2-presence_partielle;K73;SPECIALISTE CONTROLE QUALITE;44517;Conception action formation;Outil_collecte seulement;couple(s) 6 — absent de la fiche
2-presence_partielle;M79;Vendeur(euse) conseil en espace de vente;34582;Négociation commerciale;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;K83;Agréeur produits alimentaires;34085;Stratégie commerciale;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;K83;Agréeur produits alimentaires;34593;Prospection vente;fiche metier seulement;niveau 3 — a ajouter dans Outil_collecte
2-presence_partielle;K83;Agréeur produits alimentaires;13154;Economie;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;K83;Agréeur produits alimentaires;32079;Gestion performance;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;B87;Chargé(e) de marketing opérationnel;15254;Langues;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;B87;Chargé(e) de marketing opérationnel;34060;Etude de marché;fiche metier seulement;niveau 3 — a ajouter dans Outil_collecte
2-presence_partielle;B87;Chargé(e) de marketing opérationnel;46319;Ecriture informative;Outil_collecte seulement;couple(s) 3 — absent de la fiche
2-presence_partielle;M90;Directeur(trice) commercial(e);32130;Animation motivation équipe;fiche metier seulement;niveau 3 — a ajouter dans Outil_collecte
2-presence_partielle;M90;Directeur(trice) commercial(e);34592;Entretien vente;Outil_collecte seulement;couple(s) 4 — absent de la fiche
2-presence_partielle;M126;Vendeur(euse) conseil à distance;34582;Négociation commerciale;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;M137;Conseiller de vente à distance;34507;Vente à distance;Outil_collecte seulement;couple(s) 3 — absent de la fiche
2-presence_partielle;M137;Conseiller de vente à distance;13154;Economie;Outil_collecte seulement;couple(s) 3 — absent de la fiche
2-presence_partielle;D160;OPERATEUR(TRICE) DE PREMIERE TRANSFORMATION DES VIANDES;21577;Viande;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;D160;OPERATEUR(TRICE) DE PREMIERE TRANSFORMATION DES VIANDES;21598;Abattage;Outil_collecte seulement;couple(s) 2 — absent de la fiche
2-presence_partielle;J169;Mécanicien/ne avion;13154;Economie;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J169;Mécanicien/ne avion;32079;Gestion performance;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J169;Mécanicien/ne avion;21572;Reglementation hygiene agroalimentaire;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J172;Maintenicien/ne en équipements aéroportuaires;31624;Maintenance industrielle;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J172;Maintenicien/ne en équipements aéroportuaires;21592;Conserve;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J172;Maintenicien/ne en équipements aéroportuaires;31058;Informatique industrielle;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;C185;Responsable méthanisation;31407;Qualite hygiene securite environnement;Outil_collecte seulement;couple(s) 2,5 — absent de la fiche
2-presence_partielle;C186;Second(e) d’exploitation en cultures spécialisées/chef(fe) d’équipe;31436;Contrôle qualité;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;C186;Second(e) d’exploitation en cultures spécialisées/chef(fe) d’équipe;21547;Bonnes pratiques hygiene agroalimentaire;Outil_collecte seulement;couple(s) 4 — absent de la fiche
2-presence_partielle;C187;Chef(fe) de culture;31436;Contrôle qualité;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;C187;Chef(fe) de culture;21547;Bonnes pratiques hygiene agroalimentaire;Outil_collecte seulement;couple(s) 4 — absent de la fiche
2-presence_partielle;C189;Agent(e) arboricole;21547;Bonnes pratiques hygiene agroalimentaire;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;D190;Responsable de chai;23684;Entretien mécanique;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;D190;Responsable de chai;13254;Droit;Outil_collecte seulement;couple(s) 2 — absent de la fiche
2-presence_partielle;D190;Responsable de chai;21547;Bonnes pratiques hygiene agroalimentaire;Outil_collecte seulement;couple(s) 5 — absent de la fiche
2-presence_partielle;D192;Agent de chai;21577;Viande;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;D192;Agent de chai;31436;Contrôle qualité;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;D192;Agent de chai;31620;Conduite installation industrielle;Outil_collecte seulement;couple(s) 2,3 — absent de la fiche
2-presence_partielle;D194;Superviseur de production;13254;Droit;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;D195;Conducteur(trice) de machine / d’équipement (machiniste-régleur / souffleur / remplisseur);31624;Maintenance industrielle;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;D195;Conducteur(trice) de machine / d’équipement (machiniste-régleur / souffleur / remplisseur);23684;Entretien mécanique;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;D195;Conducteur(trice) de machine / d’équipement (machiniste-régleur / souffleur / remplisseur);21532;Boisson;Outil_collecte seulement;couple(s) 3 — absent de la fiche
2-presence_partielle;J196;Technicien.ne de maintenance;21547;Bonnes pratiques hygiene agroalimentaire;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J196;Technicien.ne de maintenance;31058;Informatique industrielle;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;J196;Technicien.ne de maintenance;24431;Maintenance système automatisé;fiche metier seulement;niveau 3 — a ajouter dans Outil_collecte
2-presence_partielle;J196;Technicien.ne de maintenance;11054;Mathematiques;Outil_collecte seulement;couple(s) 2,3 — absent de la fiche
2-presence_partielle;J196;Technicien.ne de maintenance;11454;Physique;Outil_collecte seulement;couple(s) 2,3 — absent de la fiche
2-presence_partielle;J196;Technicien.ne de maintenance;21532;Boisson;Outil_collecte seulement;couple(s) 3 — absent de la fiche
2-presence_partielle;J197;Automaticien.ne;31754;Manutention;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J197;Automaticien.ne;11054;Mathematiques;Outil_collecte seulement;couple(s) 1,2,3,4 — absent de la fiche
2-presence_partielle;C200;Mécanicien(ne) à la pêche;31624;Maintenance industrielle;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;C200;Mécanicien(ne) à la pêche;31047;;Outil_collecte seulement;couple(s) 1 — absent de la fiche
2-presence_partielle;C203;Agent(e) de cultures légumières de plein champs ou sous serre;21754;;Outil_collecte seulement;couple(s) 1 — absent de la fiche
2-presence_partielle;C203;Agent(e) de cultures légumières de plein champs ou sous serre;21407;;Outil_collecte seulement;couple(s) 1 — absent de la fiche
2-presence_partielle;C204;Agent(e) horticole;21547;Bonnes pratiques hygiene agroalimentaire;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;C204;Agent(e) horticole;21572;Reglementation hygiene agroalimentaire;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
